	A_tot	Perf_tot	Perf_area
0	9.360417438734765e-06	3	3.949872110895787e-06
1	7.874474279427885e-06	3	2.079486667240888e-06
2	1.5215193925450807e-05	7	9.706313036124643e-06
3	1.0095988021848117e-05	6	5.2317784221023185e-06
4	1.4827682956394855e-05	9	9.713186977160097e-06
5	7.746317385341766e-06	2	2.7746104272408533e-06
6	9.492246646519479e-06	3	4.0476641321412446e-06
7	8.886021900167185e-06	3	3.850600761854316e-06
8	1.265351103807734e-05	5	6.839323123356376e-06
9	8.074172598376051e-06	2	2.484950309848736e-06
10	1.0793035279778007e-05	7	6.7552433340610245e-06
11	7.015897867161183e-06	4	2.3530968650001617e-06
12	7.1299625159675335e-06	3	2.2381798389167395e-06
13	1.4671607565655913e-05	2	8.254040544762583e-06
14	1.1686967375244857e-05	5	5.9723307836084356e-06
15	8.387165293019324e-06	2	3.1583942404723356e-06
16	1.013704136884705e-05	6	6.408975584005328e-06
17	7.718094904515791e-06	2	1.5551110553370909e-06
18	6.734429010069987e-06	2	1.3271573068545308e-06
19	9.921706234968822e-06	4	3.9549744508832035e-06
20	9.820657881834175e-06	4	5.180063379232926e-06
21	7.735620526336936e-06	4	3.0953355106594555e-06
22	9.353303003292575e-06	3	4.293725565227729e-06
23	7.976995276346328e-06	4	2.8216809708198413e-06
24	9.871636366856116e-06	3	3.904439245762066e-06
25	9.288954112631075e-06	5	3.5483817262474007e-06
26	1.0496283776820787e-05	5	5.814803830233117e-06
27	9.232438513464356e-06	3	4.276573778199806e-06
28	4.381892009001779e-06	0	0.0
29	9.159733928542016e-06	3	4.1226960939227e-06
30	9.21214674976754e-06	4	3.922836370018435e-06
31	1.0985935521820172e-05	4	5.463673803925036e-06
32	8.022576997559256e-06	4	2.9161113578538104e-06
33	1.1451832227683766e-05	5	5.51955667042052e-06
34	8.929700165272778e-06	5	4.188086823037915e-06
35	7.448219354162533e-06	2	1.2734472560484853e-06
36	9.074681136674984e-06	6	4.017825847884138e-06
37	7.964078005641965e-06	4	3.07443939074105e-06
38	7.024960326478921e-06	2	2.0208163141521287e-06
39	6.6106309657650896e-06	2	1.1899050698089115e-06
40	1.0301511282128714e-05	6	5.885744533138277e-06
41	9.304370704246675e-06	3	3.1008323949744246e-06
42	1.5367486695633265e-05	6	9.193425588795228e-06
43	1.2417415794025092e-05	9	7.476418129241015e-06
44	1.1351645661775401e-05	4	6.085774517540792e-06
45	7.97771614395234e-06	4	2.726405325403492e-06
46	8.891761407440347e-06	3	2.925901456568921e-06
47	1.4891147127893536e-05	6	8.651740847548702e-06
48	1.408801200429603e-05	5	8.166974852877174e-06
49	9.684988217372444e-06	5	4.569465527589982e-06
50	1.1338371388426213e-05	5	5.203116072710747e-06
51	5.924162359537098e-06	2	1.2688455205918236e-06
52	7.945742279012318e-06	2	2.8286393312378227e-06
53	1.0773233162256531e-05	5	5.040372418504802e-06
54	7.5096671118021505e-06	3	2.5634794925650996e-06
55	9.380437287671978e-06	4	4.206390281986378e-06
56	8.809433467672312e-06	5	4.3370175534993104e-06
57	9.529182163545805e-06	5	4.894629445318339e-06
58	9.203282677639815e-06	7	4.926851682915272e-06
59	7.5360325712931674e-06	3	2.7592174777526197e-06
60	8.095244593895517e-06	2	1.7105434283397804e-06
61	1.164421231125994e-05	3	6.221572753576127e-06
62	8.012070021888062e-06	4	2.7971859039067774e-06
63	9.455839080440109e-06	3	4.195019868179968e-06
64	9.07722783171589e-06	4	4.131936516137594e-06
65	1.5209170622465554e-05	6	9.889836209617723e-06
66	9.935282277445053e-06	6	5.164473067054764e-06
67	1.0945773522296025e-05	5	5.90433484613277e-06
68	1.4707690626103164e-05	2	8.664590924705942e-06
69	1.1353016736986337e-05	5	5.289641651586232e-06
70	9.443814123227137e-06	4	3.786109110469654e-06
71	1.3239128193616734e-05	5	7.856697435355267e-06
72	7.216745400049402e-06	2	1.3450969318202098e-06
73	6.18321787742085e-06	2	1.2668835088509683e-06
74	5.4326711736155185e-06	1	5.862896803518994e-07
75	9.311574261398545e-06	5	4.1122307556588545e-06
76	6.336553915318633e-06	2	1.318584012174111e-06
77	8.009652412706037e-06	2	2.8909746718598766e-06
78	1.1855385329256398e-05	5	6.8028132208061e-06
79	1.2267932787256583e-05	6	6.557099402351845e-06
80	9.76518902783218e-06	4	3.7701758563623687e-06
81	1.3433682367886467e-05	3	7.120858564242019e-06
82	8.287581248059304e-06	4	2.413970830474614e-06
83	6.816989748632447e-06	2	1.2319383834407625e-06
84	7.374254265096265e-06	4	2.2636377005340778e-06
85	6.726619693512494e-06	3	2.0407035319133997e-06
86	8.494458414927973e-06	4	2.303224687619356e-06
87	1.0064996000687006e-05	3	3.7690769910960786e-06
88	8.466956233155634e-06	2	2.1115209746075785e-06
89	1.04620638474472e-05	3	4.004074447731844e-06
90	1.3034689166641341e-05	8	8.094225498558532e-06
91	6.742297836617461e-06	2	1.3389649801275867e-06
92	6.092890583187905e-06	2	1.3136223459169835e-06
93	1.3546215242105567e-05	2	8.476928210033791e-06
94	1.1123491267999071e-05	5	6.179557935120686e-06
95	5.64859724593681e-06	0	0.0
96	1.0162617432737642e-05	3	4.4573995355085946e-06
97	9.119183252196202e-06	4	3.5788020938858794e-06
98	8.746857283332236e-06	4	3.578821462531796e-06
99	1.4637582164544235e-05	3	7.571103513929803e-06
100	1.0372807880343476e-05	5	4.668845321571869e-06
101	8.366549399394296e-06	3	2.9209460751115396e-06
102	9.531410931437804e-06	4	4.1643684659959665e-06
103	6.949262624334907e-06	1	7.728505211685361e-07
104	9.184926084935767e-06	6	4.5640707888141905e-06
105	6.109451902822521e-06	0	0.0
106	8.956336111619111e-06	3	4.147696035796013e-06
107	8.961760284731469e-06	4	3.831639521750046e-06
108	1.2129301327818475e-05	5	5.878618516068256e-06
109	9.229702117502758e-06	4	4.495167202025534e-06
110	1.0089479038844068e-05	4	4.343762767144606e-06
111	9.964191148714648e-06	4	4.543589905042005e-06
112	9.259429236666881e-06	3	3.5774739864525933e-06
113	1.0533915178910586e-05	3	4.952942760966131e-06
114	1.596901199254399e-05	7	1.047023121067037e-05
115	1.1718026973174569e-05	5	5.4407049071022136e-06
116	7.611994450420547e-06	3	2.7576834578509927e-06
117	9.212139288285381e-06	6	4.371616484067882e-06
118	1.1921331604598167e-05	6	6.808638372406623e-06
119	1.327140894065891e-05	6	7.641593442127833e-06
120	8.160130527689353e-06	4	3.5407026791524303e-06
121	9.816731530590698e-06	4	4.956285431399361e-06
122	8.070665111728404e-06	3	2.6629028838427808e-06
123	7.541827184845378e-06	4	2.832943103085855e-06
124	9.318788342396706e-06	3	3.020045212271126e-06
125	1.9059454710252864e-05	6	1.3709741449836304e-05
126	9.784510813450434e-06	3	3.5593015210589127e-06
127	1.3163403981440228e-05	6	8.363410044232934e-06
128	8.396437072204257e-06	5	3.4073801393790725e-06
129	7.465097715136984e-06	2	1.320017712344265e-06
130	1.2525595326909126e-05	5	6.426877116418361e-06
131	1.3609889425457778e-05	7	8.156042502305262e-06
132	1.8779352836688e-05	8	1.2896133881818114e-05
133	9.339735812190508e-06	3	3.287993495746839e-06
134	9.887086858187155e-06	4	4.3823880602495715e-06
135	8.905806219844359e-06	3	3.0183210004065406e-06
136	6.3803394420884415e-06	4	2.123284812340056e-06
137	8.760919424726053e-06	4	3.826801964391054e-06
138	7.980545057920752e-06	4	3.9511986972794084e-06
139	9.728282601260903e-06	3	3.815083623644328e-06
140	9.459361299667265e-06	4	3.303529137889642e-06
141	5.956968988830623e-06	2	1.3320729534501467e-06
142	1.1931957838876748e-05	5	5.892967018076451e-06
143	1.3448160922664858e-05	6	8.267802827640671e-06
144	1.3236047760894693e-05	6	6.9707740771158226e-06
145	6.023319959326049e-06	0	0.0
146	7.410474537673793e-06	4	2.518491796922737e-06
147	9.928244859642081e-06	7	5.348056500805974e-06
148	7.770913748029273e-06	3	2.7205028030087136e-06
149	1.2224149259889005e-05	5	6.988563663777537e-06
150	1.2813512983478864e-05	4	5.887076924651572e-06
151	7.4821954908020255e-06	3	1.581302571815029e-06
152	1.0720448178569212e-05	3	5.201267507619571e-06
153	8.444403716570596e-06	3	2.916450509227491e-06
154	7.4943217382154185e-06	4	2.127891234105784e-06
155	1.511092968137887e-05	6	9.84856174760959e-06
156	6.938967537538625e-06	2	1.5856287494767225e-06
157	1.1284656230472429e-05	6	6.278168810152393e-06
158	8.51477489170634e-06	4	3.7833723719117872e-06
159	1.1831915612227635e-05	5	6.36124302265355e-06
160	7.646399315506917e-06	4	2.458861171521702e-06
161	9.764999593819992e-06	5	5.310035640082177e-06
162	8.823670328216163e-06	2	2.997597734388364e-06
163	6.78913687152756e-06	3	2.2679111462352324e-06
164	6.629895181435128e-06	0	0.0
165	7.4825622905152675e-06	5	2.8815623259908194e-06
166	7.869891968326515e-06	4	3.1709183146218244e-06
167	7.896964245875129e-06	3	2.5793395631374053e-06
168	1.0587662356808939e-05	6	5.509626663333095e-06
169	1.1631040812140642e-05	3	5.8821304459967005e-06
170	1.3328972654085803e-05	6	7.979002729720639e-06
171	8.234457940975823e-06	4	2.6933273997574995e-06
172	4.913603698046104e-06	0	0.0
173	8.940963251544682e-06	3	3.6029208046368065e-06
174	1.9459899718428745e-05	10	1.5036772643259197e-05
175	1.285007930869398e-05	4	6.96248820963458e-06
176	8.369057125491367e-06	6	3.734330866199811e-06
177	6.96256075119778e-06	2	1.866397727933235e-06
178	6.5986741456293825e-06	2	1.694974502034285e-06
179	1.0313341858140779e-05	4	4.918537915283457e-06
180	8.309986933391787e-06	4	2.709071302139039e-06
181	6.958351988277267e-06	3	1.7883705876858534e-06
182	1.185558667621274e-05	4	6.68880095634044e-06
183	8.68019452274112e-06	4	2.985422872387902e-06
184	6.935984243596886e-06	2	1.6430369862474565e-06
185	1.2666192044790928e-05	6	6.560490388427953e-06
186	7.269719307875849e-06	4	3.023496969635182e-06
187	6.548230338467609e-06	1	1.4567089003511395e-06
188	1.3945750537707802e-05	5	8.573808306425037e-06
189	1.3510204409301332e-05	5	7.809636244756605e-06
190	7.942522909199376e-06	4	2.9642029329187897e-06
191	7.662807608096276e-06	2	2.880854367497012e-06
192	8.932746399918118e-06	4	3.6553122661572836e-06
193	8.899399551995065e-06	4	4.054169726267909e-06
194	8.517396410303813e-06	5	3.1059054848300014e-06
195	1.274115313209127e-05	5	6.592581796726776e-06
196	6.8256566621358635e-06	1	5.722464106516737e-07
197	1.0087375983515909e-05	7	5.4640248668074984e-06
198	7.177743329223789e-06	2	2.3566916525798064e-06
199	7.595697820232789e-06	3	2.22962427385046e-06
200	7.401923743424213e-06	4	2.2992670718238986e-06
201	8.597846795420143e-06	4	3.6161679470234002e-06
202	7.12049777792705e-06	2	2.104735941339519e-06
203	6.012744652370335e-06	1	6.320883880371852e-07
204	1.711995390582626e-05	6	1.2336688818775791e-05
205	1.2910880558645087e-05	4	6.746125804927633e-06
206	7.161377314006551e-06	2	1.8478291438988301e-06
207	7.4903284146495405e-06	3	2.875481232453745e-06
208	2.2800093672182734e-05	7	1.80914523653879e-05
209	5.517662741173755e-06	1	6.661509053473446e-07
210	6.955407314410681e-06	2	1.4076648047482993e-06
211	1.2384605752500638e-05	5	7.092228010964953e-06
212	9.78973152364679e-06	5	3.7177659532377806e-06
213	7.899903906271149e-06	4	2.3321666413924307e-06
214	1.4846204568789081e-05	6	8.549650702412396e-06
215	9.534662828757288e-06	4	3.2995959534863263e-06
216	1.1147384178774747e-05	5	6.4779377605120535e-06
217	8.0345483895743e-06	2	2.0808767432644114e-06
218	1.2646454868368861e-05	7	7.418150997094274e-06
219	7.25781996700062e-06	2	1.2405011512682325e-06
220	8.596388003239456e-06	3	3.10441775973586e-06
221	8.235778690724536e-06	3	1.982441784178324e-06
222	8.367300814329278e-06	4	2.7417878824579226e-06
223	1.014874862289269e-05	5	4.75383673861157e-06
224	1.0169390573421678e-05	4	4.89844165432588e-06
225	1.0276159552649072e-05	3	4.870883786167214e-06
226	1.0691064422673145e-05	3	4.592017032610727e-06
227	7.141125287112612e-06	0	0.0
228	7.912673730766095e-06	4	2.47153820597053e-06
229	1.734155057892e-05	7	1.2122942489405419e-05
230	7.007539986756836e-06	2	1.296172338153736e-06
231	8.3474895008455e-06	3	4.057232056331315e-06
232	8.55046309569224e-06	5	3.824837234214217e-06
233	1.0421569379004449e-05	7	5.992497066566275e-06
234	1.0400940961289145e-05	4	4.849880063156287e-06
235	7.4929335110814956e-06	1	1.4655802094088205e-06
236	5.775986683827263e-06	0	0.0
237	1.5723986111650173e-05	5	9.895319983352992e-06
238	6.011386462378403e-06	3	1.7384619329983208e-06
239	8.28132005229805e-06	2	2.2249650644359524e-06
240	7.268999004465155e-06	1	7.137623904754613e-07
241	7.381243779966583e-06	0	0.0
242	6.5262739383825554e-06	1	8.204015175750381e-07
243	7.333155869782255e-06	3	1.8171197454229073e-06
244	1.1485289905154784e-05	5	5.6778769567024564e-06
245	6.22075405390917e-06	2	1.1202898084176402e-06
246	9.811265516329309e-06	4	5.4068394543498354e-06
247	8.54603215605869e-06	5	3.263592810692766e-06
248	1.0362597110629672e-05	2	5.2521303971944315e-06
249	1.1210840461565889e-05	5	6.050112361552209e-06
250	7.563835703996697e-06	1	6.30826092207634e-07
251	9.136326564005963e-06	2	2.937020294241938e-06
252	1.0863295196492151e-05	6	5.941547759490902e-06
253	5.72979140084186e-06	0	0.0
254	1.0951472253296362e-05	5	5.1446770789257445e-06
255	1.1972542339315762e-05	4	6.538815573977071e-06
256	6.935691369826652e-06	2	1.3719338838854981e-06
257	6.694154315874973e-06	3	1.921553634897818e-06
