	AA_MEAN	AA_STD	CRAT_MEAN	CRAT_STD
0	3.1221693863227555e-09	7.204247855600743e-11	2.1086948547243368e-07	2.4547559205190326e-09
1	3.1759573022074967e-09	7.895907924513727e-11	2.2911379714472172e-07	2.8775611498165087e-09
2	3.2286432649045803e-09	8.572610330237311e-11	2.4848905777836027e-07	3.339303256894104e-09
3	3.2725221275691995e-09	9.478498783364137e-11	2.70237648082518e-07	3.944543378293684e-09
4	3.403068779240026e-09	1.0536100830476017e-10	2.9319680983660377e-07	4.577373589447895e-09
5	3.4855278142349224e-09	1.1532469244648003e-10	3.1849941918391225e-07	5.318985798054023e-09
6	3.4905203207295165e-09	1.2358993198455664e-10	3.4616148586945953e-07	6.192294124874974e-09
7	3.80417537789911e-09	1.4166868718011244e-10	3.7615101985970835e-07	7.081470486783042e-09
8	3.740119074370499e-09	1.52385935063823e-10	4.085480789166821e-07	8.397181088564545e-09
9	4.10737375753466e-09	1.7334235718260028e-10	4.4321840780599003e-07	9.45226940994983e-09
10	4.163174444845955e-09	1.8981963815894966e-10	4.819213391471724e-07	1.1130878266958333e-08
11	4.307680186107007e-09	2.083264462330847e-10	5.240511591496295e-07	1.2788363474380888e-08
12	4.586677786492228e-09	2.344972614662825e-10	5.685119128841615e-07	1.4705000745350869e-08
13	4.8321309385643424e-09	2.6465985315227137e-10	6.168948139940159e-07	1.7057121031139357e-08
14	5.367133636625773e-09	3.011882872829313e-10	6.701966257050602e-07	1.9003872574902743e-08
15	5.154104498424438e-09	3.200481556142157e-10	7.285699589319613e-07	2.2822494247938292e-08
16	6.069946258300462e-09	3.684763846676546e-10	7.90628417249965e-07	2.42359682075089e-08
17	6.062055709376767e-09	4.070064497625813e-10	8.589129532043034e-07	2.9115170975728835e-08
18	6.5076197893864e-09	4.6431096677550656e-10	9.33312110086346e-07	3.367818006743107e-08
19	7.6756222567551e-09	5.448213602604655e-10	1.0138361925526413e-06	3.6322472172157095e-08
20	7.24020103925512e-09	5.630396201096589e-10	1.1007490335502855e-06	4.320496388961568e-08
21	8.799501654428674e-09	6.787873449018013e-10	1.1914089743229956e-06	4.644281628596624e-08
22	9.230026547336793e-09	7.668474729270341e-10	1.3011204608351074e-06	5.4568448820681686e-08
23	9.964725832244445e-09	8.521050309007048e-10	1.4112258424423935e-06	6.100863154208196e-08
24	1.1076605041485916e-08	9.818579026747651e-10	1.5344393677284118e-06	6.871051734411167e-08
25	1.205555613141177e-08	1.1192780288688723e-09	1.6680532446318023e-06	7.824273393685616e-08
26	1.3161151917272904e-08	1.2690311967684505e-09	1.806702492496498e-06	8.789879202845796e-08
27	1.4464421455963669e-08	1.42614792638868e-09	1.9682953113905477e-06	9.822094084451175e-08
28	1.5598477624190323e-08	1.604919310567838e-09	2.130603303694523e-06	1.1066532192012947e-07
29	1.7121124378597004e-08	1.8069542565901336e-09	2.308217095817214e-06	1.2355916352573753e-07
30	1.8842122321050154e-08	2.1306557231076544e-09	2.511236642402593e-06	1.4329419752649475e-07
31	2.0053768025614668e-08	2.340090927690511e-09	2.731054811621916e-06	1.603806146402137e-07
32	2.2244713448471298e-08	2.6816874855885307e-09	2.9598533564587522e-06	1.8043953162622412e-07
33	2.3200241313461827e-08	2.9811721589780643e-09	3.21744693597029e-06	2.0892384812237784e-07
34	2.5545500203371762e-08	3.4242437158698733e-09	3.4945359977485346e-06	2.3682787812794855e-07
35	2.6832539314203538e-08	3.813317451163356e-09	3.790668304602316e-06	2.719962053141186e-07
36	2.7856464649843317e-08	4.1837633655637054e-09	4.117378253625017e-06	3.1324604957652704e-07
37	3.149840037342277e-08	4.831555403898646e-09	4.4812269667613574e-06	3.463223075481507e-07
